stop_name,reader_id,stop_lat,stop_lon,osm_place_id
Plaza España,1101,36.4200493,-6.1451644,17239081
Avda. del Puerto,1102,36.5303381,-6.2909618,15162508
Puertas de Tierra,1103,36.5268985,-6.2891028,18351216
Avda. Andalucía,1104,36.5243937,-6.2871129,18478776
Comisaría,1105,36.5207423,-6.2865468,18549763
Cuarteles,1106,36.5178107,-6.283355,18520447
San Felipe,1107,36.5155645,-6.2821051,18357716
San José,1108,36.5123361,-6.2803863,
Residencia,1109,36.6932833,-6.1036593,44814276
Balneario,1110,36.5063864,-6.2771259,17424966
Estadio,1111,36.5022103,-6.2744544,17466039
Telegrafía,1112,36.500309,-6.2735577,
Cortadura,1113,36.4967388,-6.2715801,15273360
Cortadura,1114,36.4967388,-6.2715801,15273360
Telegrafía,1115,36.500309,-6.2735577,
Estadio,1116,36.5022103,-6.2744544,17466039
Balneario,1117,36.5063864,-6.2771259,17424966
Residencia,1118,36.6932833,-6.1036593,44814276
San José,1119,36.5123361,-6.2803863,
San Felipe,1120,36.5155645,-6.2821051,18357716
Cuarteles,1121,36.5178107,-6.283355,18520447
Comisaría,1122,36.5207423,-6.2865468,18549763
Avda. Andalucía,1123,36.5243937,-6.2871129,18478776
Puertas de Tierra,1124,36.5268985,-6.2891028,18351216
Renfe,1125,36.529968,-6.2886944,15202678
Avda. del Puerto,1126,36.5303381,-6.2909618,15162508
Plaza España,1201,36.4200493,-6.1451644,17239081
Avda. del Puerto,1502,36.5303381,-6.2909618,15162508
Puertas de Tierra,1212,36.5268985,-6.2891028,18351216
Acacias,1213,36.525175,-6.286402,
Brunete,1214,36.522069,-6.284144,
Ciudad de Santander,1215,36.521071,-6.281925,
Vicente Aleixandre,1216,36.519797,-6.280157,
Guillén Moreno,1217,36.5173769,-6.2791002,15199102
Avda. Portugal,1218,36.515018,-6.277458,
Trille,1219,36.5117494,-6.2761739,15011645
Santo Tomás,1220,36.6720931,-6.1371324,45107227
Avda. Marconi,1221,36.507474,-6.271656,
Puntales,1222,36.507063,-6.266333,
Bda. Loreto,1223,36.5049337,-6.2728475,15240850
Puntales,1224,36.507063,-6.266333,
Avda. Lacave,1225,36.509433,-6.272474,
Alcalde Blázquez,1226,36.509381,-6.274693,
Trille,1227,36.5117494,-6.2761739,15011645
Avda. Portugal,1228,36.515028,-6.277472,
Guillén Moreno,1229,36.5173769,-6.2791002,15199102
Cibeles,1230,36.5198978,-6.2804761,15171911
Tolosa Latour 1,1231,36.521190,-6.281134,
Tolosa Latour 2,1232,36.522253,-6.283018,
Juan Ramón Jiménez,1233,36.522822,-6.285542,
Puertas de Tierra,1234,36.5268985,-6.2891028,18351216
Mirandilla,1235,36.5276074,-6.2926059,18358657
Catedral,1236,36.5287519,-6.2961143,15039447
Mercado,1237,36.5288103,-6.2979701,18400262
Sagasta,1238,36.5282648,-6.3008859,18331706
San Félix,1239,36.5280538,-6.3033297,17699329
Hospital Mora,1240,36.531585,-6.305553,
Hotel Atlántico,1241,36.534492,-6.304910,
Parque Genovés,1242,36.536828,-6.302090,
Alameda Marqués de Comillas,1243,36.537399,-6.299648,
Alameda Apodaca,1244,36.536554,-6.294728,
República Argentina,1245,36.536274,-6.291587,
Plaza España,1246,36.4200493,-6.1451644,17239081
Plaza España,1301,36.4200493,-6.1451644,17239081
San Severiano,1302,36.521370,-6.280577,
Santo Domingo,1303,36.519085,-6.277108,
Brigadier Tofiño,1304,36.518179,-6.275758,
Federico Joly,1305,36.514508,-6.273552,
Sotillo,1306,36.3801163,-6.1736155,22828551
Avda. Guadalete,1307,36.510933,-6.272461,
Avda. Lacave,1308,36.509433,-6.272474,
Avda. Marconi,1309,36.507474,-6.271656,
Puntales,1310,36.507063,-6.266333,
Avda. Marconi,1311,36.507474,-6.271656,
Avda. Guadalete,1312,36.510933,-6.272461,
Sotillo,1313,36.3801163,-6.1736155,22828551
Federico Joly,1314,36.514508,-6.273552,
Brigadier Tofiño,1315,36.518179,-6.275758,
Santo Domingo,1316,36.519085,-6.277108,
San Severiano,1317,36.521370,-6.280577,
Plaza España,1501,36.4200493,-6.1451644,17239081
Plaza Sevilla,1503,36.529975,-6.289122,
Dique,1504,36.5277112,-6.2846833,15306874
Avda. Las Cortes,1505,36.522695,-6.278861,
Centro comercial,1506,36.5214801,-6.2772832,15180919
Avda. de Huelva,1507,36.5200972,-6.2771624,15171229
La Laguna 1,1508,36.5070453,-6.2741327,15260790
La Laguna 2,1509,36.5052616,-6.2732743,15089012
Estadio,1510,36.5022103,-6.2744544,17466039
Jimena de la Fra.,1511,36.499856,-6.269229,
R. de Vigilancia 1,1512,36.500072,-6.266013,
R. de Vigilancia 2,1513,36.497219,-6.264676,
C.D. Elcano,1514,36.4987549,-6.2593933,15038531
Avda. Sánchez Cossío,1515,36.4950741,-6.2662037,15051417
Zona Franca,1516,36.4945187,-6.2660956,15197802
Avda. Sánchez Cossío,1517,36.4950741,-6.2662037,15051417
Algeciras,1518,36.498167,-6.267276,
Glorieta Zona Franca,1519,36.5026373,-6.2714007,15260186
Bda. Loreto,1520,36.5049337,-6.2728475,15240850
Cerro del Moro,1521,36.5086306,-6.2745554,15123339
Avda. de Huelva,1522,36.5200972,-6.2771624,15171229
Centro comercial,1523,36.5214801,-6.2772832,15180919
Avda. Las Cortes,1524,36.522695,-6.278861,
Dique,1525,36.5277112,-6.2846833,15306874
Casa del Mar,1526,36.530164,-6.288993,
Ingeniero La Cierva,1701,36.5057483,-6.2775872,17633136
Isecotel,1702,36.5095047,-6.2808042,18606317
San Felipe,1703,36.5155645,-6.2821051,18357716
Plaza Asdrúbal,1704,36.5176102,-6.2858916,18538020
Comisaría,1705,36.5207423,-6.2865468,18549763
C/ Barcelona,1706,36.5242063,-6.2888268,18506185
Simón Bolivar,1707,36.5332757,-6.3059741,18605080
Hospital Mora,1207,36.531585,-6.305553,
San Félix,1208,36.5280538,-6.3033297,17699329
Sagasta,1209,36.5282648,-6.3008859,18331706
Mercado,1210,36.5288103,-6.2979701,18400262
Mirandilla,1211,36.5276074,-6.2926059,18358657
C/ Barcelona,1708,36.5242063,-6.2888268,18506185
Comisaría,1709,36.5207423,-6.2865468,18549763
Plaza Asdrúbal,1710,36.5176102,-6.2858916,18538020
San Felipe,1711,36.5155645,-6.2821051,18357716
Isecotel,1712,36.5095047,-6.2808042,18606317
